2019-11-24 | 09:26:20.713 | [] |  INFO | CarsAwsomeApplication          | (    50) | Starting CarsAwsomeApplication on LenovoL530 with PID 3584 (started by Lenovo L530 in C:\Users\Lenovo L530\Desktop\java\cars-awsome (3))
2019-11-24 | 09:26:20.729 | [] |  INFO | CarsAwsomeApplication          | (   648) | No active profile set, falling back to default profiles: default
2019-11-24 | 09:26:23.057 | [] |  INFO | RepositoryConfigurationDelegate | (   244) | Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-24 | 09:26:23.057 | [] |  INFO | RepositoryConfigurationDelegate | (   126) | Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-24 | 09:26:23.229 | [] |  INFO | RepositoryConfigurationDelegate | (   182) | Finished Spring Data repository scanning in 157ms. Found 3 repository interfaces.
2019-11-24 | 09:26:23.244 | [] |  INFO | RepositoryConfigurationDelegate | (   244) | Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-24 | 09:26:23.244 | [] |  INFO | RepositoryConfigurationDelegate | (   126) | Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-24 | 09:26:23.322 | [] |  INFO | RepositoryConfigurationDelegate | (   182) | Finished Spring Data repository scanning in 62ms. Found 3 repository interfaces.
2019-11-24 | 09:26:24.041 | [] |  INFO | essorRegistrationDelegate$BeanPostProcessorChecker | (   330) | Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$e592d7a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-24 | 09:26:24.510 | [] |  INFO | TomcatWebServer                | (    90) | Tomcat initialized with port(s): 8080 (http)
2019-11-24 | 09:26:24.557 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2019-11-24 | 09:26:24.557 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.26]
2019-11-24 | 09:26:24.854 | [] |  INFO | [/]                            | (   173) | Initializing Spring embedded WebApplicationContext
2019-11-24 | 09:26:24.854 | [] |  INFO | ContextLoader                  | (   284) | Root WebApplicationContext: initialization completed in 3953 ms
2019-11-24 | 09:26:25.150 | [] |  INFO | HikariDataSource               | (   110) | HikariPool-1 - Starting...
2019-11-24 | 09:26:26.479 | [] |  INFO | HikariDataSource               | (   123) | HikariPool-1 - Start completed.
2019-11-24 | 09:26:26.557 | [] |  INFO | LogHelper                      | (    31) | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-11-24 | 09:26:26.822 | [] |  INFO | Version                        | (    46) | HHH000412: Hibernate Core {5.3.12.Final}
2019-11-24 | 09:26:26.822 | [] |  INFO | Environment                    | (   213) | HHH000206: hibernate.properties not found
2019-11-24 | 09:26:27.088 | [] |  INFO | Version                        | (    49) | HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-11-24 | 09:26:27.369 | [] |  INFO | Dialect                        | (   157) | HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
